1000 5
5719.00 3849.00 3
6274.00 703.00 3
8977.00 9782.00 1
786.00 8541.00 2
3850.00 2618.00 0
7923.00 6911.00 1
2635.00 7155.00 2
2620.00 2477.00 0
9196.00 1261.00 3
7512.00 3145.00 3
2078.00 8825.00 2
3913.00 6274.00 4
460.00 413.00 0
47.00 2537.00 0
7455.00 3179.00 3
4201.00 2483.00 0
114.00 7767.00 2
2603.00 5487.00 4
8934.00 8195.00 1
3536.00 4920.00 4
7927.00 6333.00 1
3202.00 6284.00 4
6974.00 2475.00 3
2345.00 6158.00 4
2439.00 2102.00 0
8880.00 8073.00 1
5622.00 2309.00 3
2606.00 9334.00 2
4390.00 7723.00 2
1683.00 432.00 0
8210.00 4740.00 3
369.00 9366.00 2
1912.00 3900.00 4
4302.00 9761.00 2
6074.00 5584.00 1
1735.00 182.00 0
5543.00 5721.00 1
4262.00 5054.00 4
7978.00 3014.00 3
4183.00 4132.00 4
8225.00 553.00 3
8376.00 2015.00 3
1488.00 3142.00 0
6287.00 1873.00 3
5735.00 3191.00 3
7888.00 414.00 3
7826.00 99.00 3
9999.00 9969.00 1
8271.00 1312.00 3
2195.00 7468.00 2
5269.00 2134.00 3
252.00 7279.00 2
3987.00 518.00 0
2183.00 1691.00 0
55.00 6491.00 2
9279.00 2439.00 3
1089.00 4144.00 4
8293.00 5090.00 1
9046.00 6467.00 1
5027.00 5674.00 4
1705.00 1400.00 0
2062.00 7981.00 2
7127.00 8944.00 1
1979.00 5550.00 4
1105.00 1531.00 0
1747.00 442.00 0
3152.00 1340.00 0
6058.00 9595.00 1
5924.00 1853.00 3
2684.00 4252.00 4
7677.00 2867.00 3
7032.00 319.00 3
4782.00 2866.00 3
34.00 8076.00 2
6031.00 2436.00 3
4388.00 9562.00 2
1490.00 1094.00 0
548.00 9283.00 2
1464.00 9812.00 2
8988.00 8867.00 1
7701.00 3014.00 3
1366.00 97.00 0
257.00 5547.00 4
6070.00 7553.00 1
4304.00 6085.00 4
8893.00 8681.00 1
8149.00 949.00 3
5099.00 8515.00 1
1202.00 6408.00 4
709.00 8563.00 2
7475.00 8977.00 1
8183.00 25.00 3
3500.00 714.00 0
3259.00 7289.00 2
2863.00 9014.00 2
9195.00 1417.00 3
5635.00 1145.00 3
3027.00 8506.00 2
4417.00 9337.00 2
3771.00 315.00 0
2993.00 3734.00 4
1347.00 506.00 0
1605.00 7321.00 2
4928.00 4812.00 4
2532.00 5849.00 4
998.00 7568.00 2
6778.00 5635.00 1
9558.00 6127.00 1
2589.00 91.00 0
8587.00 5622.00 1
5107.00 6174.00 1
1791.00 6199.00 4
3395.00 8234.00 2
7187.00 93.00 3
9065.00 6144.00 1
3663.00 3007.00 0
5070.00 2249.00 3
5222.00 8679.00 1
9318.00 1879.00 3
1758.00 4659.00 4
1868.00 1965.00 0
62.00 5691.00 4
172.00 9730.00 2
1609.00 7364.00 2
63.00 4289.00 4
1259.00 3028.00 0
3116.00 4228.00 4
5297.00 4951.00 4
1452.00 3523.00 4
6174.00 1634.00 3
463.00 9944.00 2
8506.00 566.00 3
5598.00 6005.00 1
5869.00 8967.00 1
4321.00 3368.00 4
9086.00 6078.00 1
1522.00 5229.00 4
3397.00 8651.00 2
1185.00 9124.00 2
6759.00 271.00 3
1977.00 9765.00 2
6179.00 5065.00 1
1874.00 6657.00 2
952.00 8143.00 2
6728.00 411.00 3
1418.00 7792.00 2
7709.00 5255.00 1
2085.00 2824.00 0
6091.00 9074.00 1
4977.00 5027.00 4
781.00 3.00 0
8663.00 4757.00 3
5790.00 4735.00 3
9442.00 4522.00 3
4481.00 7763.00 2
5689.00 1817.00 3
5298.00 2670.00 3
5660.00 3486.00 3
6429.00 7484.00 1
3789.00 7752.00 2
8127.00 7531.00 1
2834.00 5584.00 4
5497.00 2679.00 3
4744.00 9420.00 2
4508.00 6921.00 2
9946.00 5635.00 1
5697.00 4384.00 3
3266.00 3426.00 4
5416.00 350.00 3
5742.00 2030.00 3
4788.00 134.00 0
103.00 6010.00 4
1748.00 8852.00 2
3886.00 4091.00 4
2965.00 6814.00 2
7096.00 4490.00 3
999.00 2137.00 0
6668.00 7147.00 1
1357.00 7824.00 2
9546.00 8732.00 1
793.00 240.00 0
7279.00 1919.00 3
3367.00 1351.00 0
4998.00 779.00 3
360.00 5023.00 4
17.00 2256.00 0
2434.00 1269.00 0
2728.00 8362.00 2
6726.00 2783.00 3
2448.00 3336.00 4
7731.00 8062.00 1
720.00 7805.00 2
4377.00 1184.00 0
6577.00 2503.00 3
5648.00 7912.00 1
6116.00 7870.00 1
8570.00 8354.00 1
6424.00 5663.00 1
1990.00 7361.00 2
5916.00 2553.00 3
4262.00 6940.00 2
7393.00 5864.00 1
7811.00 6745.00 1
4548.00 4817.00 4
7616.00 4168.00 3
3115.00 29.00 0
7037.00 9652.00 1
7230.00 8649.00 1
2045.00 4085.00 4
3624.00 4028.00 4
1562.00 2409.00 0
2333.00 9915.00 2
8983.00 5812.00 1
3166.00 2698.00 0
4293.00 1110.00 0
7403.00 2148.00 3
8282.00 3980.00 3
7641.00 4173.00 3
6912.00 3753.00 3
340.00 8358.00 2
8250.00 9638.00 1
9527.00 865.00 3
2796.00 6088.00 4
1289.00 3941.00 4
7003.00 1650.00 3
6282.00 6452.00 1
5123.00 5162.00 4
2638.00 2219.00 0
8552.00 8560.00 1
9001.00 5050.00 1
1374.00 2908.00 0
6332.00 2772.00 3
1725.00 2647.00 0
2399.00 3625.00 4
5791.00 8958.00 1
1440.00 706.00 0
1676.00 7218.00 2
9962.00 4893.00 1
5289.00 723.00 3
7514.00 7642.00 1
3164.00 1614.00 0
7662.00 2389.00 3
723.00 9492.00 2
